[03-24 21:47:04]: training starts
[03-24 21:47:04]: Fold1 starts training
[03-24 21:47:04]: ROUND 1000
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe train -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\train.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -round 1000 -measure NDCG', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 131', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 141', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 151', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 161', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 171', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 181', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 191', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 201', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 211', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 221', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 231', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 241', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 251', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 261', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 271', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 281', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 291', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 301', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 311', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 321', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 331', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 341', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 351', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 361', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 371', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 381', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 391', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 401', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 411', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 421', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 431', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 441', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 451', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 461', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 471', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 481', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 491', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 501', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 511', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 521', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 531', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 541', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 551', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 561', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 571', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 581', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 591', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 601', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 611', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 621', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 631', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 641', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 651', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 661', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 671', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 681', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 691', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 701', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 711', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 721', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 731', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 741', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 751', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 761', mode 'r' at 0x00000000022DE300>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 771', mode 'r' at 0x00000000022DE390>
<open file 'G:\yaogong\letor40\baselines\AdaRank\source_code\AdaRank_CSharp.exe test -data G:\yaogong\letor40\datasets\OHSUMED\Fold1\vali.txt -model G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\model -output G:\yaogong\letor40\baselines\AdaRank\data\OHSUMED\score -round 781', mode 'r' at 0x00000000022DE300>
